method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
Feedforward + PI,0.5969026041820608,0.3645688468142213,0.22344752943708676,0.004260383942333217,4.987915755111269e-06
Feedforward + PI,0.6283185307179586,0.41310729137884244,0.28541297364737495,0.004358020556059212,5.863705039926398e-06
Feedforward + PI,0.6597344572538567,0.44124690593556287,0.33318577569280555,0.0044432634611164395,6.8332409934051105e-06
Feedforward + PI,0.6911503837897546,0.495027059275177,0.4172371476393678,0.0045571422921902496,7.921756067279899e-06
Feedforward + PI,0.7225663103256524,0.5265732430353389,0.4821132086387918,0.004656052160700308,9.118116974387894e-06
Feedforward + PI,0.7539822368615504,0.5883092030236929,0.5951230572638043,0.004788408199305612,1.0457114379286544e-05
Feedforward + PI,0.7853981633974484,0.6240172478604661,0.6819744015857709,0.0049032481940264475,1.1927147193748812e-05
Feedforward + PI,0.8168140899333465,0.6925774842696302,0.8311329633687664,0.005055878824169476,1.3546559969206467e-05
Feedforward + PI,0.8482300164692442,0.7324670897938244,0.9457481261587736,0.005188269684118686,1.5322596544105922e-05
Feedforward + PI,0.8796459430051421,0.8089779058853339,1.1403315915208863,0.005363933280261157,1.7292658929661346e-05
Feedforward + PI,0.9110618695410401,0.8514985878008954,1.2885114498489731,0.005514008715989858,1.9354098807523007e-05
Feedforward + PI,0.9424777960769379,0.9327952207867916,1.5330337822432283,0.005708682137857006,2.1476921609123244e-05
Feedforward + PI,0.9738937226128359,0.9758352110838528,1.7111161129461279,0.00586748958646604,2.3408451536711298e-05
Feedforward + PI,1.0053096491487339,1.063496083689456,2.01002859859708,0.006065603782939929,2.4967006839583235e-05
Feedforward + PI,1.0367255756846319,1.1141442996879032,2.2442331884514775,0.006232639975729387,2.640665915839877e-05
Feedforward + PI,1.0681415022205298,1.2195750424023486,2.645891240567592,0.006481050401082139,2.7869774790961322e-05
Feedforward + PI,1.0995574287564276,1.2786559446680716,2.9481749158614234,0.006801674366598315,3.117720784238938e-05
Feedforward + PI,1.1309733552923256,1.3903235812964319,3.423602055637558,0.007332749776485033,3.995396114327875e-05
